4150,date,division number_x,title,uin,uri_x,224,division number_y,uri_y
no,2008-10-22,284.0,"Human Fertilisation and Embryology Bill (Lords), Question put, That the amendment be made (41, 47, 73 and New clause 24)",CD:2008-10-22:284,http://data.parliament.uk/resources/104184,,,
no,2008-10-22,285.0,"Human Fertilisation and Embryology Bill (Lords), It being after 6PM, Mr. Speaker proceeded to put the Questions necessary for the disposal of the business to be concluded at that hour, pursuant to Order (this day), Amd 41",CD:2008-10-22:285,http://data.parliament.uk/resources/104185,,,
no,2008-10-22,286.0,"Human Fertilisation and Embryology Bill (Lords), Question put pursuant to Order (this day), Clause 4 Amenments 4 and 47",CD:2008-10-22:286,http://data.parliament.uk/resources/104186,,,
no,2008-10-22,287.0,"Human Fertilisation and Embryology Bill (Lords), Question put pursuant to Order (this day), Amenments 5, 6, 75, 8 to 20 and 50",CD:2008-10-22:287,http://data.parliament.uk/resources/104187,,,
no,2008-10-21,277.0,"Immigration Controls, Question put, That the original words stand part of the Question",CD:2008-10-21:277,http://data.parliament.uk/resources/104177,,,
no,2008-10-20,275.0,"Political Parties and Elections Bill, Question put, That the amendment be made",CD:2008-10-20:275,http://data.parliament.uk/resources/104175,,,
no,2008-10-08,271.0,"European Union (Transparency), Question put, pursuant to Standing Order No. 23 (Motions for leave to bring in b ills and nomination of s elect c ommittees at commencement of public business)",CD:2008-10-08:271,http://data.parliament.uk/resources/104171,,,
no,2008-10-08,272.0,"European Union (Transparency), It being Six o’clock, Madam Deputy Speaker put forthwith the Question already proposed from the Chair, pursuant to Order (16 June) Question put, That the clause be read a Second time",CD:2008-10-08:272,http://data.parliament.uk/resources/104172,,,
no,2008-10-08,273.0,"European Union (Transparency), New Clause 24 Question put, That the clause be read a Second time",CD:2008-10-08:273,http://data.parliament.uk/resources/104173,,,
no,2008-10-07,268.0,"Government’s Fiscal Rules, Question put, That the original words stand part of the Question",CD:2008-10-07:268,http://data.parliament.uk/resources/104168,,,
no,2008-07-16,264.0,"Members’ Allowances, Question put, That the original words stand part of the Question",CD:2008-07-16:264,http://data.parliament.uk/resources/104164,,,
no,2008-07-16,265.0,"Members’ Allowances, Question, That the Question be now put, put and agreed to. Question put accordingly, That the original words stand part of the Question",CD:2008-07-16:265,http://data.parliament.uk/resources/104165,,,
no,2008-07-09,259.0,"Cost of Living, Question put, That the original words stand part of the Question",CD:2008-07-09:259,http://data.parliament.uk/resources/104159,,,
no,2008-07-02,244.0,"Finance Bill, Question put, That new clause 17 be read a Second time",CD:2008-07-02:244,http://data.parliament.uk/resources/104144,,,
no,2008-07-02,245.0,"Finance Bill, Question put, That amendments 88-93 and Gov amendment 29 be made",CD:2008-07-02:245,http://data.parliament.uk/resources/104145,,,
no,2008-07-02,246.0,"Finance Bill, Question put, That new clause 3 be read a Second time",CD:2008-07-02:246,http://data.parliament.uk/resources/104146,,,
no,2008-07-02,247.0,"Finance Bill, Motion made, and Question put, That new clause 8 be read a Second time",CD:2008-07-02:247,http://data.parliament.uk/resources/104147,,,
no,2008-07-02,248.0,"Finance Bill, Motion made, and Question put, That new clause 14 be read a Second time",CD:2008-07-02:248,http://data.parliament.uk/resources/104148,,,
no,2008-07-01,239.0,"Finance Bill, Question put, That new clause 4 be read a Second time",CD:2008-07-01:239,http://data.parliament.uk/resources/104139,,,
