515,date,division number,title,uin,uri
no,2008-06-11,219.0,"Counter-Terrorism Bill, It being 18:00, Speaker put forthwith the Question already proposed from the Chair, pursuant to Orders (1 Apr & 10 Jun), New Clause 21, 22, 24 to 30 & 32 That the clauses be added to the Bill",CD:2008-06-11:219,http://data.parliament.uk/resources/104119
no,2008-06-11,220.0,"Counter-Terrorism Bill, Question put, That the new schedule 1 be added to the Bill",CD:2008-06-11:220,http://data.parliament.uk/resources/104120
no,2008-06-04,210.0,"Pensioner Poverty, Question, That the proposed words be there added, put forthwith, pursuant to Standing Order No. 31 (Questions on amendments",CD:2008-06-04:210,http://data.parliament.uk/resources/104110
no,2008-06-02,204.0,Planning Bill (Programme) (No. 2),CD:2008-06-02:204,http://data.parliament.uk/resources/104104
no,2008-05-20,199.0,"Human Fertilisation and Embryology bill, Question put, That the clause be read a Second time",CD:2008-05-20:199,http://data.parliament.uk/resources/104099
no,2008-05-20,200.0,"Human Fertilisation and Embryology bill, New Clause 3",CD:2008-05-20:200,http://data.parliament.uk/resources/104100
no,2008-05-19,191.0,"Human Fertilisation and Embryology bill, It being three hours after the commen cement of proceedings on clause 4 , The Chairman put forthwith the Question already proposed from the Chair , pursuant to Order (12 May)",CD:2008-05-19:191,http://data.parliament.uk/resources/104091
no,2008-05-19,192.0,"Human Fertilisation and Embryology bill, It being three hours after the commen cement of proceedings on clause 33 & 10, The Chairman put forthwith the Question already proposed from the Chair , pursuant to Order (12 May)",CD:2008-05-19:192,http://data.parliament.uk/resources/104092
no,2008-05-19,193.0,"Human Fertilisation and Embryology bill, It being three hours after the commen cement of proceedings on clause 44, The Chairman put forthwith the Question already proposed from the Chair , pursuant to Order (12 May)",CD:2008-05-19:193,http://data.parliament.uk/resources/104093
no,2008-05-19,195.0,"Human Fertilisation and Embryology bill, amendment 4",CD:2008-05-19:195,http://data.parliament.uk/resources/104095
no,2008-05-19,196.0,"Human Fertilisation and Embryology bill, amendment 18",CD:2008-05-19:196,http://data.parliament.uk/resources/104096
no,2008-05-14,183.0,"Immigration, That the Statement of Changes in Immigration Rules (House of Commons Paper No. 321), a copy of which was laid before this House on 6th February, be disapproved",CD:2008-05-14:183,http://data.parliament.uk/resources/104083
no,2008-05-14,187.0,"Motion made, & Question put, That at this day’s sitting, SO No. 41A (Deferred divisions) shall not apply to the Motions - Sir Stuart Bell & Harriet Harman, CofE Marriage Measure & Yvette Cooper, Banks & Banking",CD:2008-05-14:187,http://data.parliament.uk/resources/104087
no,2008-05-13,178.0,Education and Skills Bill (Programme) (No. 2) That the Order of 14th January 2008 (Education and Skills Bill (Programme)) be varied,CD:2008-05-13:178,http://data.parliament.uk/resources/104078
